2025-03-24 16:35:15 | CPU: 25.3% | Memory: 83.9%
2025-03-24 16:35:20 | CPU: 38.5% | Memory: 82.5%
2025-03-24 16:35:25 | CPU: 36.0% | Memory: 82.5%
2025-03-24 16:35:30 | CPU: 27.9% | Memory: 84.4%
2025-03-24 16:35:35 | CPU: 20.8% | Memory: 83.7%
2025-03-24 16:35:40 | CPU: 20.7% | Memory: 83.4%
2025-03-24 16:35:45 | CPU: 12.9% | Memory: 82.7%
2025-03-24 16:35:50 | CPU: 8.6% | Memory: 82.7%
2025-03-24 16:35:55 | CPU: 13.2% | Memory: 82.8%
2025-03-24 16:36:00 | CPU: 32.0% | Memory: 82.9%
2025-03-24 16:36:05 | CPU: 45.4% | Memory: 83.1%
2025-03-24 16:36:10 | CPU: 78.4% | Memory: 84.8%
2025-03-24 16:36:15 | CPU: 46.0% | Memory: 82.9%
2025-03-24 16:36:20 | CPU: 71.7% | Memory: 83.5%
2025-03-24 16:36:25 | CPU: 47.6% | Memory: 82.9%
2025-03-24 16:36:30 | CPU: 51.4% | Memory: 83.7%
2025-03-24 16:36:35 | CPU: 17.9% | Memory: 82.9%
2025-03-24 16:36:40 | CPU: 17.4% | Memory: 82.7%
2025-03-24 16:36:45 | CPU: 30.8% | Memory: 83.8%
2025-03-24 16:36:50 | CPU: 33.7% | Memory: 84.4%
2025-03-24 16:36:55 | CPU: 13.6% | Memory: 82.9%
2025-03-24 16:37:00 | CPU: 14.4% | Memory: 82.5%
2025-03-24 16:37:05 | CPU: 11.9% | Memory: 82.7%
2025-03-24 16:37:10 | CPU: 14.4% | Memory: 82.5%
2025-03-24 16:37:15 | CPU: 10.0% | Memory: 82.4%
2025-03-24 16:37:20 | CPU: 9.5% | Memory: 82.4%
2025-03-24 16:37:25 | CPU: 7.9% | Memory: 82.5%
2025-03-24 16:37:30 | CPU: 50.3% | Memory: 83.1%
2025-03-24 16:37:35 | CPU: 39.2% | Memory: 83.2%
2025-03-24 16:37:40 | CPU: 35.1% | Memory: 82.5%
2025-03-24 16:37:45 | CPU: 51.4% | Memory: 82.0%
2025-03-24 16:37:50 | CPU: 20.6% | Memory: 82.0%
2025-03-24 16:37:55 | CPU: 26.7% | Memory: 82.2%
2025-03-24 16:38:00 | CPU: 29.2% | Memory: 82.6%
2025-03-24 16:38:05 | CPU: 22.7% | Memory: 82.3%
2025-03-24 16:38:10 | CPU: 15.7% | Memory: 82.4%
2025-03-24 16:38:15 | CPU: 15.2% | Memory: 82.5%
2025-03-24 16:38:20 | CPU: 21.6% | Memory: 82.1%
2025-03-24 16:38:25 | CPU: 19.6% | Memory: 82.3%
2025-03-24 16:38:30 | CPU: 25.3% | Memory: 80.6%
2025-03-24 16:38:35 | CPU: 25.4% | Memory: 82.0%
2025-03-24 16:38:40 | CPU: 34.6% | Memory: 80.3%
2025-03-24 16:38:45 | CPU: 15.5% | Memory: 80.0%
2025-03-24 16:38:50 | CPU: 20.6% | Memory: 80.0%
2025-03-24 16:38:55 | CPU: 9.6% | Memory: 79.6%
2025-03-24 16:39:00 | CPU: 14.5% | Memory: 79.6%
2025-03-24 16:39:05 | CPU: 16.5% | Memory: 79.6%
2025-03-24 16:39:10 | CPU: 4.2% | Memory: 79.2%
2025-03-24 16:39:15 | CPU: 5.7% | Memory: 78.4%
2025-03-24 16:39:20 | CPU: 12.0% | Memory: 80.2%
2025-03-24 16:39:25 | CPU: 3.5% | Memory: 80.1%
